GIỐNG - LOẠI,GIỐNG - NHU CẦU,GIỐNG - TỈNH THÀNH,QUẬN HUYỆN,GIÁ - TRIỆU ĐỒNG,DIỆN TÍCH - M2,HƯỚNG,SỐ TẦNG,SỐ PHÒNG,SỐ TOILETS,GIẤY TỜ PHÁP LÝ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3525.6,65.2,Tây Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,14088.1,118.9,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,13980.9,118.5,Tây,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6140.1,63.1,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4138.4,48.9,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,5052.2,61.4,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,10575.3,88.7,Tây Bắc,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5822.1,36.5,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8325.4,94.9,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,12248.3,117.1,,,4,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5912.1,63.2,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,10705.7,88.2,Tây Bắc,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,7849.7,104.0,Đông,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,7102.4,143.9,Tây Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6961.7,77.2,Đông Bắc,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,10769.3,99.0,,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,10834.6,68.1,Tây,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5556.7,69.2,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,7724.7,153.9,Đông,,4,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,7217.3,77.1,Đông,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,5707.8,67.3,Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5663.4,49.1,Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,7560.5,63.5,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,12598.7,87.6,Đông Bắc,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,7695.2,79.7,Bắc,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3204.1,125.8,Đông Nam,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7828.1,34.2,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,7407.0,82.4,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6967.8,55.1,Nam,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3759.6,83.9,Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,7674.7,66.9,Tây Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,9616.9,93.6,Nam,,3,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,11335.9,65.4,Tây Bắc,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận Thủ Đức,5119.2,63.0,Tây Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,11891.3,106.0,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,14301.8,77.0,,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4185.3,49.1,Tây Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6205.8,71.1,Đông Nam,,3,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5107.8,56.1,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,7284.9,73.2,Đông Nam,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,4567.9,116.9,Đông Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2638.0,61.6,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,8967.0,110.2,,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5215.8,47.3,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,11876.6,55.2,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,13822.4,69.7,Đông,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,10458.8,83.2,Đông Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2624.6,58.6,Tây Bắc,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,8321.6,105.7,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7143.6,28.7,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,13035.4,111.3,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,5264.7,50.0,Đông Nam,,,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,3510.3,57.3,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,11779.8,91.5,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,7928.6,66.7,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,11470.0,99.5,Tây Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6569.8,86.7,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8229.5,80.2,Nam,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8331.5,115.4,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,4588.8,82.3,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3168.6,110.3,Tây,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6160.6,48.2,Nam,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2340.0,93.1,Tây Bắc,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,5195.7,134.6,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,6798.0,53.9,Nam,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7269.7,76.1,,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,9216.9,83.6,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,13376.2,103.6,,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,13567.2,66.4,Bắc,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,6152.8,53.8,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6968.8,68.0,Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5554.3,44.8,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,9327.8,90.1,Tây Bắc,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4127.9,149.1,,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3944.1,71.2,Đông Bắc,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,8874.9,,,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,,123.6,Tây,,3,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6882.2,77.0,Tây Nam,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5007.8,71.3,Tây,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,10992.3,115.8,Đông Nam,,,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,4237.3,94.8,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,10797.0,48.2,Bắc,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,5362.3,41.5,Đông,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,8552.1,,Nam,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3827.3,46.8,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7373.3,62.0,Tây Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7333.4,32.1,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3432.7,107.7,Đông,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,6922.4,93.5,Đông,,,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5065.7,65.1,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Huyện Bình Chánh,7025.9,131.6,,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5459.1,52.9,Đông Bắc,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,11400.6,109.1,Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,5449.5,50.4,,,1,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,5200.6,57.8,Đông Bắc,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2746.1,98.8,,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,10418.1,83.8,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4798.2,50.0,Đông Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10417.1,90.4,Đông,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,8122.7,92.2,Đông,,2,2,Đã có sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 2,10087.9,82.5,Tây,,,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6448.2,53.2,Bắc,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4603.9,61.6,Tây Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3837.8,45.5,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,9288.7,151.3,Tây,,,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,7189.0,,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,12290.4,112.6,,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,11218.1,105.9,Đông Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,11712.5,105.1,Đông,,4,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,6588.0,64.4,,,,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,13477.4,61.4,Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,8020.0,81.4,Đông Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,12599.9,112.6,Tây Nam,,3,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,5466.4,72.4,Đông,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5813.6,123.0,Tây,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5538.8,63.8,,,,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5337.4,99.8,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,20470.9,86.2,Đông Nam,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,4859.8,40.3,Đông Nam,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,3103.1,116.1,,,3,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,8199.0,154.2,Đông Nam,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6589.0,52.6,Đông,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,8209.4,86.9,Tây Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,12188.1,107.7,Đông,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,10181.1,81.0,Tây Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5491.4,37.6,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,8270.8,87.9,Tây Bắc,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,7929.3,63.8,Tây Bắc,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,4443.7,140.4,Tây Bắc,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3715.5,66.1,,,,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10219.3,92.1,,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,12156.9,106.2,,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,7076.8,131.3,Bắc,,4,3,
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 9,3810.0,40.6,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,5822.7,68.7,Tây Bắc,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5950.6,48.5,Đông Bắc,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5071.0,113.2,Tây,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,8546.0,112.0,Tây Bắc,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,,81.1,Nam,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,13686.9,61.1,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,8670.5,150.0,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,8547.7,96.0,,,2,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,9735.4,89.3,Đông Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,6314.6,106.2,Tây Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,9436.2,74.1,Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,10517.3,119.3,Đông Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5204.5,35.8,Đông,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,9428.7,109.3,Đông Bắc,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10435.0,95.6,Tây Nam,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7957.7,47.8,Đông Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,10408.6,53.7,Đông Bắc,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9689.8,58.2,Đông Nam,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,9906.2,80.8,Tây Nam,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,5949.4,37.3,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,2994.9,97.4,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,4758.0,151.8,Đông Nam,,,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5612.2,44.7,Đông,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,6876.3,86.6,,,3,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,11245.8,96.3,Nam,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9853.5,54.0,Tây Bắc,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,9291.7,117.9,Bắc,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,16175.1,77.2,,,3,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,8135.1,63.3,,,1,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,5354.6,55.6,Đông Bắc,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,7323.3,75.5,Tây,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,9150.8,61.6,Tây Bắc,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,16550.4,88.7,,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,6423.7,30.0,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,3836.2,41.3,,,2,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,6862.7,74.3,Đông Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,6139.7,61.4,Đông,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,13219.5,103.1,,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,9034.8,157.1,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần thuê,Hồ Chí Minh,Quận 1,19408.3,84.9,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,3848.9,42.3,Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7614.8,52.2,Bắc,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,7778.4,67.2,Đông,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,12805.8,114.2,Tây,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,12953.7,102.9,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,4248.1,47.7,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,4663.5,46.8,Tây,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,9348.4,115.6,,,4,2,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,7370.2,133.2,Đông Bắc,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,3583.1,50.0,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7490.5,100.2,Tây Nam,,3,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,11754.7,87.5,Tây Nam,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3951.7,53.7,Nam,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,10166.5,79.2,,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,5266.1,135.2,Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,16110.7,68.7,Tây Bắc,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,7326.9,150.5,,,4,3,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,16106.2,75.4,Tây Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,4104.2,43.9,Đông Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,8021.4,147.8,,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,7020.3,63.2,Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,9113.9,114.3,Tây,,3,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Huyện Bình Chánh,1834.8,50.1,Tây,,2,,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6190.3,57.2,Bắc,,2,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,6669.2,75.8,,,3,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,11358.1,118.8,Tây Bắc,,4,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5190.2,,Tây Nam,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,7057.0,143.2,Đông Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,7805.4,37.4,,,1,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,9891.3,84.4,Đông Bắc,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3972.1,151.4,Nam,,,3,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,5276.9,53.6,,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,8568.1,68.3,Đông Nam,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 7,9195.6,75.3,,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,3333.8,43.7,Bắc,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,2083.0,62.2,Đông,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5575.0,77.4,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,7641.9,33.2,Đông,,1,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,13852.3,56.8,Đông Nam,,2,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,3388.2,94.9,Nam,,3,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Phú,7144.1,83.0,,,2,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 1,12805.8,74.5,,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,6530.5,109.0,Đông,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Bình Tân,2363.1,75.6,Đông Bắc,,2,1,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,11384.0,101.3,Tây Nam,,4,3,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,9716.0,82.8,,,2,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,5239.3,93.4,Tây,,2,,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 3,14257.9,82.3,Tây Nam,,,2,Đang chờ sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 12,6436.0,137.8,Nam,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 2,5018.0,50.0,,,1,1,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 11,11835.6,111.3,,,3,2,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Thủ Đức,9020.3,,,,3,1,Đã có sổ
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận Tân Bình,11638.8,106.3,,,3,,
"Căn hộ, chung cư",Cần bán,Hồ Chí Minh,Quận 9,8758.4,81.7,Tây,,3,1,
